restaurant_name	boro	building	street	zipcode	cuisine	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	grade_date	inspection_type
JOY CURRY & TANDOOR	MANHATTAN	148	EAST   46 STREET	10017	Indian	8/21/14	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	16	B	8/21/14	Cycle Inspection / Re-inspection
FOUR T RESTAURANT	BROOKLYN	1638	EASTERN PKWY	11233	Caribbean	3/2/15	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	7	A	3/2/15	Cycle Inspection / Initial Inspection
DAVIDOVICH BAKERY	MANHATTAN	120	ESSEX STREET	10002	Bakery	6/2/15	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	7	A	6/2/15	Cycle Inspection / Re-inspection
LA TERNURA	BROOKLYN	4210	3 AVENUE	11232	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	5/16/15	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	12	A	5/16/15	Cycle Inspection / Re-inspection
BONDURANTS	MANHATTAN	303	E 85TH ST	10028	American	4/2/14	Violations were cited in the following area(s).	08B	Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.	Not Critical	13	A	4/2/14	Pre-permit (Operational) / Re-inspection
MY BUBBLY TEA	MANHATTAN	55	BAYARD STREET	10013	Juice, Smoothies, Fruit Salads	6/15/16	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	6	A	6/15/16	Cycle Inspection / Initial Inspection
FAMILY PIZZA	BROOKLYN	720	FLATBUSH AVENUE	11225	Pizza	1/16/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	6	A	1/16/14	Cycle Inspection / Initial Inspection
DELISH BY AMERIVENTS	QUEENS	4701	111 STREET	11368	American	6/29/16	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	6/29/16	Cycle Inspection / Re-inspection
JIMMY MAX RESTAURANT	STATEN ISLAND	280	WATCHOGUE ROAD	10314	American	10/28/15	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	13	A	10/28/15	Cycle Inspection / Re-inspection
JIN JIN HONG KONG CAFE	BROOKLYN	6224	18 AVENUE	11204	Chinese	12/30/15	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	10	A	12/30/15	Cycle Inspection / Re-inspection
TARTINA	MANHATTAN	653	9 AVENUE	10036	Sandwiches/Salads/Mixed Buffet	10/29/13	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	25	B	10/29/13	Cycle Inspection / Re-inspection
HELLO BROOKLYN	BROOKLYN	234	UNION AVE	11211	American	1/12/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	11	A	1/12/16	Cycle Inspection / Re-inspection
AMBASSADOR FOOD SERVICES	QUEENS	807	38 AVENUE	11101	American	5/11/15	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	9	A	5/11/15	Cycle Inspection / Initial Inspection
HAPPY WOK 88	QUEENS	6619	BEACH CHANNEL DRIVE	11692	Chinese	2/18/15	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	18	B	2/18/15	Cycle Inspection / Re-inspection
PARCEROS BAKERY	QUEENS	6354	WOODHAVEN BOULEVARD	11374	Bakery	7/6/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	7/6/16	Cycle Inspection / Initial Inspection
LA IGUANA AZUL	STATEN ISLAND	8	GIFFORDS LANE	10308	Spanish	4/28/16	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	13	A	4/28/16	Cycle Inspection / Re-inspection
ROSA MEXICANA	MANHATTAN	61	COLUMBUS AVENUE	10023	Mexican	4/28/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	4/28/14	Cycle Inspection / Re-inspection
MCDONALD'S	QUEENS	3759	82ND ST	11372	American	2/5/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	2/5/14	Pre-permit (Operational) / Re-inspection
KAM KITCHEN	QUEENS	13417	LIBERTY AVE	11419	Chinese	5/3/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	5	A	5/3/16	Cycle Inspection / Re-inspection
YA SHI RESTAURANT	QUEENS	4030	149TH PL	11354	Korean	6/5/13	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	22	B	6/5/13	Cycle Inspection / Re-inspection
DUNKIN' DONUTS, BASKIN ROBBINS	QUEENS	6366	108 STREET	11375	Donuts	6/17/16	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	11	A	6/17/16	Cycle Inspection / Re-inspection
LONE STAR BAR & GRILL	BROOKLYN	8703	5 AVENUE	11209	American	12/7/13	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	13	A	12/7/13	Cycle Inspection / Re-inspection
KING YUM RESTAURANT	QUEENS	18108	UNION TURNPIKE	11366	Chinese	7/13/13	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	10	A	7/13/13	Cycle Inspection / Re-inspection
LONG ISLAND UNIVERSITY - LUNTEY COMMONS	BROOKLYN	1	UNIVERSITY PLAZA	11201	American	9/18/15	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	5	A	9/18/15	Cycle Inspection / Initial Inspection
AU BON PAIN	QUEENS	0	LAGUARDIA AIRPORT	11369	Sandwiches/Salads/Mixed Buffet	9/19/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	9/19/13	Cycle Inspection / Re-inspection
ROYAL SOUL FOOD	MANHATTAN	914	COLUMBUS AVE	10025	Caribbean	6/21/16	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	11	A	6/21/16	Cycle Inspection / Initial Inspection
PATRIZIA'S OF WOODLAWN	BRONX	4358	KATONAH AVE	10470	Italian	4/28/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	12	A	4/28/15	Cycle Inspection / Initial Inspection
BIER INTERNATIONAL	MANHATTAN	2099	8 AVENUE	10026	American	11/25/14	Violations were cited in the following area(s).	09A	Canned food product observed dented and not segregated from other consumable food items.	Not Critical	12	A	11/25/14	Cycle Inspection / Re-inspection
NYAC MAIN DINING ROOM	MANHATTAN	180	CENTRAL PARK SOUTH	10019	American	12/22/15	Violations were cited in the following area(s).	10E	Accurate thermometer not provided in refrigerated or hot holding equipment.	Not Critical	13	A	12/22/15	Cycle Inspection / Initial Inspection
EL NUEVO DELICIOSO RESTAURANT	BRONX	410	EAST  148 STREET	10455	Spanish	5/29/15	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	13	A	5/29/15	Cycle Inspection / Re-inspection
DOLCE VITA CREPERIE	BROOKLYN	547	KINGS HWY	11223	Jewish/Kosher	1/21/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	16	B	1/21/16	Cycle Inspection / Re-inspection
GRAND 1 BAKERY	MANHATTAN	295	GRAND STREET	10002	Bakery	3/23/15	Violations were cited in the following area(s).	06B	Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.	Critical	9	A	3/23/15	Cycle Inspection / Re-inspection
18 HIPOT	BROOKLYN	8204	18TH AVE	11214	Chinese	5/27/15	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	38	C	5/27/15	Cycle Inspection / Re-inspection
PRINT RESTAURANT/PRESS LOUNGE/BANQUET KITCHEN	MANHATTAN	653	11 AVENUE	10036	American	10/15/14	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	9	A	10/15/14	Cycle Inspection / Initial Inspection
MADDY'S AFRICAN GRILL RESTAURANT	BRONX	3716	WHITE PLAINS RD	10467	African	10/13/15	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	11	A	10/13/15	Pre-permit (Operational) / Re-inspection
OCABANON	MANHATTAN	245	W 29TH ST	10001	French	3/3/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	6	A	3/3/14	Cycle Inspection / Initial Inspection
PIZZA SHACK	MANHATTAN	525	GRAND STREET	10002	Pizza	4/21/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	4/21/16	Cycle Inspection / Re-inspection
EVENT LEVEL CLUB (DELTA SKY 360 BAR)	MANHATTAN	4	PENN PLZ	10121	American	3/24/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	4	A	3/24/16	Pre-permit (Operational) / Initial Inspection
SOHO LOUNGE	BROOKLYN	2213	65 STREET	11204	Russian	6/17/16	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	26	B	6/17/16	Cycle Inspection / Re-inspection
ACE PIZZA	QUEENS	6104	MYRTLE AVENUE	11385	Pizza	4/17/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	18	B	4/17/14	Cycle Inspection / Re-inspection
CHOI YUAN	BRONX	4	BEDFORD PARK BOULEVARD	10468	Chinese	11/28/12	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	12	A	11/28/12	Cycle Inspection / Initial Inspection
LIME LEAF	MANHATTAN	128	WEST   72 STREET	10023	Thai	11/26/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	11/26/13	Cycle Inspection / Initial Inspection
DA NONNA ROSA	BROOKLYN	140	7 AVENUE	11215	Italian	1/15/15	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	14	B	1/15/15	Cycle Inspection / Re-inspection
CHIKURIN	BROOKLYN	2274	86 STREET	11214	Japanese	10/31/13	Violations were cited in the following area(s).	06B	Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.	Critical	12	A	10/31/13	Cycle Inspection / Re-inspection
BEARDED LADY	BROOKLYN	686	WASHINGTON AVENUE	11238	American	12/2/14	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	4	A	12/2/14	Cycle Inspection / Re-inspection
THE JUICE SHOP	MANHATTAN	956	3RD AVE	10022	Juice, Smoothies, Fruit Salads	8/1/16	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	11	A	8/1/16	Cycle Inspection / Re-inspection
RICHMOND DINER	STATEN ISLAND	3954	RICHMOND AVENUE	10312	American	6/18/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	6/18/13	Cycle Inspection / Re-inspection
GOGO-GI	MANHATTAN	3908	BROADWAY	10032	Korean	7/9/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	4	A	7/9/15	Cycle Inspection / Re-inspection
MASPETH PIZZA	QUEENS	7109	GRAND AVENUE	11378	Pizza	9/2/14	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	Not Critical	7	A	9/2/14	Cycle Inspection / Re-inspection
L'ARTUSI	MANHATTAN	228	WEST   10 STREET	10014	American	11/8/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	7	A	11/8/13	Cycle Inspection / Re-inspection
EL VALLE RESTAURANTE	BRONX	3452	BOSTON RD	10469	Spanish	2/10/16	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	2/10/16	Pre-permit (Operational) / Initial Inspection
BAKER'S DOZEN	BROOKLYN	788	MANHATTAN AVENUE	11222	Delicatessen	12/14/13	Violations were cited in the following area(s).	06B	Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.	Critical	9	A	12/14/13	Cycle Inspection / Initial Inspection
LIQUITERIA	MANHATTAN	170	2ND AVE	10003	Juice, Smoothies, Fruit Salads	5/18/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	5/18/16	Cycle Inspection / Initial Inspection
TOWER'S CAFE	MANHATTAN	506	LENOX AVENUE	10037	American	4/3/14	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	13	A	4/3/14	Cycle Inspection / Re-inspection
HJ'S COFFEE SHOP	QUEENS	3801	ASTORIA BOULEVARD	11103	American	4/1/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	4	A	4/1/15	Cycle Inspection / Re-inspection
PERIYALI	MANHATTAN	35	WEST   20 STREET	10011	Greek	4/3/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	5	A	4/3/14	Cycle Inspection / Initial Inspection
MCCABE'S BAR CAR	QUEENS	3915	192 STREET	11358	Irish	4/7/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	6	A	4/7/15	Cycle Inspection / Initial Inspection
ERROL'S BAKERY	BROOKLYN	661	FLATBUSH AVENUE	11225	Caribbean	9/29/15	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	12	A	9/29/15	Cycle Inspection / Re-inspection
CAFE SPICE	MANHATTAN	0	GRAND CENTRAL TERMINAL	10017	Indian	12/11/13	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	12	A	12/11/13	Cycle Inspection / Re-inspection
WAH FUNG 1 FAST FOOD	MANHATTAN	79	CHRYSTIE STREET	10002	Chinese	5/21/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	5/21/15	Cycle Inspection / Initial Inspection
CARAVAN OF DREAMS	MANHATTAN	405	EAST    6 STREET	10009	Vegetarian	9/29/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	9	A	9/29/14	Cycle Inspection / Re-inspection
MCDONALD'S	QUEENS	9015	QUEENS BOULEVARD	11373	Hamburgers	3/25/13	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	10	A	3/25/13	Cycle Inspection / Re-inspection
SAN MARZANO	MANHATTAN	117	2 AVENUE	10003	American	2/16/16	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	11	A	2/16/16	Cycle Inspection / Re-inspection
NPR FOOD SOLUTIONS	BRONX	1588	WILLIAMSBRIDGE RD	10461	American	1/11/16	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	1/11/16	Cycle Inspection / Re-inspection
CAFE INTEGRAL	MANHATTAN	135	GRAND STREET	10013	Cafe/Coffee/Tea	12/19/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	2	A	12/19/13	Cycle Inspection / Re-inspection
ST. ALBANS PIZZERIA	QUEENS	20527	HOLLIS AVENUE	11412	Pizza	2/18/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	2/18/15	Cycle Inspection / Re-inspection
KENNEDY FRIED CHICKEN	BRONX	934	MORRIS AVE	10456	Chicken	6/30/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	9	A	6/30/15	Cycle Inspection / Re-inspection
THE COFFEE BEAN & TEA LEAF	MANHATTAN	1700	BROADWAY	10019	Cafe/Coffee/Tea	8/24/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	8/24/16	Cycle Inspection / Re-inspection
THAI SON	QUEENS	4010	74 STREET	11373	Vietnamese/Cambodian/Malaysia	1/9/14	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	25	B	1/9/14	Cycle Inspection / Re-inspection
BUDDY'S BURRITO & TACO BAR	BROOKLYN	260	COURT STREET	11231	Tex-Mex	7/16/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	19	B	7/16/14	Cycle Inspection / Re-inspection
MCNALLY JACKSON CAFE	MANHATTAN	52	PRINCE STREET	10012	Cafe/Coffee/Tea	6/24/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	6/24/13	Cycle Inspection / Initial Inspection
RICHOL CAFE & BAKERY	BROOKLYN	563	NOSTRAND AVENUE	11216	Bakery	3/19/14	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	Not Critical	9	A	3/19/14	Cycle Inspection / Initial Inspection
HABANA OUTPOST	BROOKLYN	620	ATLANTIC AVENUE	11217	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	1/26/16	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	2	A	1/26/16	Cycle Inspection / Initial Inspection
LI LI CHINESE FOOD	QUEENS	8306	GRAND AVENUE	11373	Chinese	6/25/14	Violations were cited in the following area(s).	10D	Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.	Not Critical	9	A	6/25/14	Cycle Inspection / Re-inspection
PANDA KITCHEN	BROOKLYN	943	PENNSYLVANIA AVENUE	11207	Chinese	4/4/13	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	21	B	4/4/13	Cycle Inspection / Re-inspection
HOUSING WORKS FOOD	MANHATTAN	126	CROSBY STREET	10012	American	8/10/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	3	A	8/10/15	Cycle Inspection / Initial Inspection
21 HOME'S KITCHEN	MANHATTAN	22	EAST   21 STREET	10010	Chinese	12/3/12	Violations were cited in the following area(s).	09B	Thawing procedures improper.	Not Critical	39	C	12/3/12	Cycle Inspection / Re-inspection
THE SPOT KARAOKE LOUNGE	MANHATTAN	34	WEST   32 STREET	10001	Korean	10/20/15	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	7	A	10/20/15	Cycle Inspection / Initial Inspection
N & D PIZZA	BROOKLYN	2823	AVENUE U	11229	Pizza	10/23/14	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	8	A	10/23/14	Cycle Inspection / Initial Inspection
DUDLEYS	MANHATTAN	85	ORCHARD STREET	10002	Australian	1/12/15	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	12	A	1/12/15	Cycle Inspection / Re-inspection
FULL DOE BAKERY	BROOKLYN	5905	4 AVENUE	11220	Bakery	3/4/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	24	B	3/4/14	Cycle Inspection / Re-inspection
MCDONALD AVENUE DINER	BROOKLYN	1111	MCDONALD AVENUE	11230	American	4/13/15	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	Not Critical	12	A	4/13/15	Cycle Inspection / Initial Inspection
THE CUCKOO'S NEST	QUEENS	6104	WOODSIDE AVENUE	11377	American	7/29/14	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	12	A	7/29/14	Cycle Inspection / Initial Inspection
773 LOUNGE	BROOKLYN	773	CONEY ISLAND AVENUE	11218	American	5/21/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	5/21/14	Cycle Inspection / Initial Inspection
THE PINK TEA CUP	BROOKLYN	120	LAFAYETTE AVE	11238	Soul Food	3/7/15	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	12	A	3/7/15	Cycle Inspection / Initial Inspection
ANFORA	MANHATTAN	34	8 AVENUE	10014	Italian	2/26/13	Violations were cited in the following area(s).	04C	Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.	Critical	9	A	2/26/13	Cycle Inspection / Re-inspection
NERAI	MANHATTAN	55	EAST   54 STREET	10022	Greek	3/19/15	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	9	A	3/19/15	Cycle Inspection / Initial Inspection
BLOCKHEAD'S MEXICAN DINER	MANHATTAN	954	2 AVENUE	10022	Mexican	9/15/15	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	4	A	9/15/15	Cycle Inspection / Initial Inspection
AILEY BOUTIQUE	MANHATTAN	405	WEST   55 STREET	10019	American	4/28/15	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	9	A	4/28/15	Cycle Inspection / Initial Inspection
TORTILLAS KING	BROOKLYN	7103	18TH AVE	11204	Tex-Mex	5/12/16	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	15	B	5/12/16	Cycle Inspection / Re-inspection
PIM POLLO	QUEENS	3239	JUNCTION BOULEVARD	11369	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	8/4/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	4	A	8/4/16	Cycle Inspection / Re-inspection
DUNKIN' DONUTS	MANHATTAN	210	WEST   50 STREET	10019	Donuts	9/25/13	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	25	B	9/25/13	Cycle Inspection / Re-inspection
GUN POST LANES SNACK BAR	BRONX	1215	EAST GUN HILL ROAD	10469	American	2/15/14	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	25	B	2/15/14	Cycle Inspection / Re-inspection
